country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"Samanpura, Patna - BSPCB","02-07-2026 14:00:00",25.596727,85.085624,PM2.5,46,73,62
India,Bihar,Patna,"Samanpura, Patna - BSPCB","02-07-2026 14:00:00",25.596727,85.085624,SO2,4,5,4
India,Bihar,Patna,"Muradpur, Patna - BSPCB","02-07-2026 14:00:00",25.619651,85.147382,PM2.5,72,81,76
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","02-07-2026 14:00:00",25.586562,85.043586,PM2.5,3,82,33
India,"Andhra Pradesh",Amaravati,"Secretariat, Amaravati - APPCB","02-07-2026 14:00:00",16.5150833,80.5181667,NO2,10,22,15
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","02-07-2026 14:00:00",21.755417,72.139056,OZONE,13,19,16
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","02-07-2026 14:00:00",23.243639,72.68994,SO2,1,8,3
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","02-07-2026 14:00:00",23.221714,72.654328,PM2.5,16,65,35
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","02-07-2026 14:00:00",23.221714,72.654328,PM10,32,81,52
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","02-07-2026 14:00:00",23.221714,72.654328,SO2,1,19,4
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","02-07-2026 14:00:00",23.221714,72.654328,CO,24,28,26
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","02-07-2026 14:00:00",23.59315,72.372792,NO2,6,9,8
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","02-07-2026 14:00:00",23.59315,72.372792,NH3,0,1,0
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","02-07-2026 14:00:00",23.59315,72.372792,OZONE,9,15,12
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","02-07-2026 14:00:00",22.410802,73.097923,NO2,4,47,24
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","02-07-2026 14:00:00",22.410802,73.097923,CO,35,70,58
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","02-07-2026 14:00:00",22.248853,70.776774,PM2.5,NA,NA,NA
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","02-07-2026 14:00:00",21.217779,72.834787,PM10,32,137,67
